zmin = 36
zmax = 44

N     Z     Neutron separation energy
93     36     0.038535610465
95     37     0.100617857969
98     38     0.0532669934639
101     39     0.00877461459413
103     40     0.0665645621991
106     41     0.0237936818567
108     42     0.0786279194626
111     43     0.0374570070448
113     44     0.0896212640862
